italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
dimostrare,to demonstrate,sto dimostrando,I am demonstrating,stai dimostrando,you are demonstrating,sta dimostrando,he/she is demonstrating,stiamo dimostrando,we are demonstrating,state dimostrando,you all are demonstrating,stanno dimostrando,they are demonstrating
riconoscere,to recognize,sto riconoscendo,I am recognizing,stai riconoscendo,you are recognizing,sta riconoscendo,he/she is recognizing,stiamo riconoscendo,we are recognizing,state riconoscendo,you all are recognizing,stanno riconoscendo,they are recognizing
adottare,to adopt,sto adottando,I am adopting,stai adottando,you are adopting,sta adottando,he/she is adopting,stiamo adottando,we are adopting,state adottando,you all are adopting,stanno adottando,they are adopting
sperare,to hope,sto sperando,I am hoping,stai sperando,you are hoping,sta sperando,he/she is hoping,stiamo sperando,we are hoping,state sperando,you all are hoping,stanno sperando,they are hoping
gestire,to manage,sto gestendo,I am managing,stai gestendo,you are managing,sta gestendo,he/she is managing,stiamo gestendo,we are managing,state gestendo,you all are managing,stanno gestendo,they are managing
raccontare,to tell,sto raccontando,I am telling,stai raccontando,you are telling,sta raccontando,he/she is telling,stiamo raccontando,we are telling,state raccontando,you all are telling,stanno raccontando,they are telling
comporre,to compose,sto componendo,I am composing,stai componendo,you are composing,sta componendo,he/she is composing,stiamo componendo,we are composing,state componendo,you all are composing,stanno componendo,they are composing
aiutare,to help,sto aiutando,I am helping,stai aiutando,you are helping,sta aiutando,he/she is helping,stiamo aiutando,we are helping,state aiutando,you all are helping,stanno aiutando,they are helping
mancare,to lack/miss,sto mancando,I am missing,stai mancando,you are missing,sta mancando,he/she is missing,stiamo mancando,we are missing,state mancando,you all are missing,stanno mancando,they are missing
finire,to finish,sto finendo,I am finishing,stai finendo,you are finishing,sta finendo,he/she is finishing,stiamo finendo,we are finishing,state finendo,you all are finishing,stanno finendo,they are finishing
operare,to operate,sto operando,I am operating,stai operando,you are operating,sta operando,he/she is operating,stiamo operando,we are operating,state operando,you all are operating,stanno operando,they are operating
comunicare,to communicate,sto comunicando,I am communicating,stai comunicando,you are communicating,sta comunicando,he/she is communicating,stiamo comunicando,we are communicating,state comunicando,you all are communicating,stanno comunicando,they are communicating
vincere,to win,sto vincendo,I am winning,stai vincendo,you are winning,sta vincendo,he/she is winning,stiamo vincendo,we are winning,state vincendo,you all are winning,stanno vincendo,they are winning
occupare,to occupy,sto occupando,I am occupying,stai occupando,you are occupying,sta occupando,he/she is occupying,stiamo occupando,we are occupying,state occupando,you all are occupying,stanno occupando,they are occupying
aumentare,to increase,sto aumentando,I am increasing,stai aumentando,you are increasing,sta aumentando,he/she is increasing,stiamo aumentando,we are increasing,state aumentando,you all are increasing,stanno aumentando,they are increasing
succedere,to happen,sto succedendo,I am happening,stai succedendo,you are happening,sta succedendo,he/she is happening,stiamo succedendo,we are happening,state succedendo,you all are happening,stanno succedendo,they are happening
consistere,to consist,sto consistendo,I am consisting,stai consistendo,you are consisting,sta consistendo,he/she is consisting,stiamo consistendo,we are consisting,state consistendo,you all are consisting,stanno consistendo,they are consisting
agire,to act,sto agendo,I am acting,stai agendo,you are acting,sta agendo,he/she is acting,stiamo agendo,we are acting,state agendo,you all are acting,stanno agendo,they are acting
concernere,to concern,sto concernendo,I am concerning,stai concernendo,you are concerning,sta concernendo,he/she is concerning,stiamo concernendo,we are concerning,state concernendo,you all are concerning,stanno concernendo,they are concerning
scoprire,to discover,sto scoprendo,I am discovering,stai scoprendo,you are discovering,sta scoprendo,he/she is discovering,stiamo scoprendo,we are discovering,state scoprendo,you all are discovering,stanno scoprendo,they are discovering
notare,to notice,sto notando,I am noticing,stai notando,you are noticing,sta notando,he/she is noticing,stiamo notando,we are noticing,state notando,you all are noticing,stanno notando,they are noticing
provare,to try,sto provando,I am trying,stai provando,you are trying,sta provando,he/she is trying,stiamo provando,we are trying,state provando,you all are trying,stanno provando,they are trying
accettare,to accept,sto accettando,I am accepting,stai accettando,you are accepting,sta accettando,he/she is accepting,stiamo accettando,we are accepting,state accettando,you all are accepting,stanno accettando,they are accepting
discutere,to discuss,sto discutendo,I am discussing,stai discutendo,you are discussing,sta discutendo,he/she is discussing,stiamo discutendo,we are discussing,state discutendo,you all are discussing,stanno discutendo,they are discussing
dipendere,to depend,sto dipendendo,I am depending,stai dipendendo,you are depending,sta dipendendo,he/she is depending,stiamo dipendendo,we are depending,state dipendendo,you all are depending,stanno dipendendo,they are depending
osservare,to observe,sto osservando,I am observing,stai osservando,you are observing,sta osservando,he/she is observing,stiamo osservando,we are observing,state osservando,you all are observing,stanno osservando,they are observing
legare,to tie,sto legando,I am tying,stai legando,you are tying,sta legando,he/she is tying,stiamo legando,we are tying,state legando,you all are tying,stanno legando,they are tying
rischiare,to risk,sto rischiando,I am risking,stai rischiando,you are risking,sta rischiando,he/she is risking,stiamo rischiando,we are risking,state rischiando,you all are risking,stanno rischiando,they are risking
crescere,to grow,sto crescendo,I am growing,stai crescendo,you are growing,sta crescendo,he/she is growing,stiamo crescendo,we are growing,state crescendo,you all are growing,stanno crescendo,they are growing
interessare,to interest,sto interessando,I am interesting,stai interessando,you are interesting,sta interessando,he/she is interesting,stiamo interessando,we are interesting,state interessando,you all are interesting,stanno interessando,they are interesting
mostrare,to show,sto mostrando,I am showing,stai mostrando,you are showing,sta mostrando,he/she is showing,stiamo mostrando,we are showing,state mostrando,you all are showing,stanno mostrando,they are showing
riferire,to report,sto riferendo,I am reporting,stai riferendo,you are reporting,sta riferendo,he/she is reporting,stiamo riferendo,we are reporting,state riferendo,you all are reporting,stanno riferendo,they are reporting
determinare,to determine,sto determinando,I am determining,stai determinando,you are determining,sta determinando,he/she is determining,stiamo determinando,we are determining,state determinando,you all are determining,stanno determinando,they are determining
iscrivere,to enroll,sto iscrivendo,I am enrolling,stai iscrivendo,you are enrolling,sta iscrivendo,he/she is enrolling,stiamo iscrivendo,we are enrolling,state iscrivendo,you all are enrolling,stanno iscrivendo,they are enrolling
riportare,to bring back,sto riportando,I am bringing back,stai riportando,you are bringing back,sta riportando,he/she is bringing back,stiamo riportando,we are bringing back,state riportando,you all are bringing back,stanno riportando,they are bringing back
decorrere,to elapse,sto decorrendo,I am passing,stai decorrendo,you are passing,sta decorrendo,he/she is passing,stiamo decorrendo,we are passing,state decorrendo,you all are passing,stanno decorrendo,they are passing
morire,to die,sto morendo,I am dying,stai morendo,you are dying,sta morendo,he/she is dying,stiamo morendo,we are dying,state morendo,you all are dying,stanno morendo,they are dying
controllare,to control,sto controllando,I am controlling,stai controllando,you are controlling,sta controllando,he/she is controlling,stiamo controllando,we are controlling,state controllando,you all are controlling,stanno controllando,they are controlling
ascoltare,to listen,sto ascoltando,I am listening,stai ascoltando,you are listening,sta ascoltando,he/she is listening,stiamo ascoltando,we are listening,state ascoltando,you all are listening,stanno ascoltando,they are listening
confermare,to confirm,sto confermando,I am confirming,stai confermando,you are confirming,sta confermando,he/she is confirming,stiamo confermando,we are confirming,state confermando,you all are confirming,stanno confermando,they are confirming
concludere,to conclude,sto concludendo,I am concluding,stai concludendo,you are concluding,sta concludendo,he/she is concluding,stiamo concludendo,we are concluding,state concludendo,you all are concluding,stanno concludendo,they are concluding
coinvolgere,to involve,sto coinvolgendo,I am involving,stai coinvolgendo,you are involving,sta coinvolgendo,he/she is involving,stiamo coinvolgendo,we are involving,state coinvolgendo,you all are involving,stanno coinvolgendo,they are involving
accadere,to happen,sto accadendo,I am happening,stai accadendo,you are happening,sta accadendo,it is happening,stiamo accadendo,we are happening,state accadendo,you all are happening,stanno accadendo,they are happening
